左龟,左技能idx,左技能,右龟,右技能idx,右技能,胜方,帧数,左释放,右释放
basic,1,打击,stone,3,嘲讽,R,2935,4,5
ice,2,冰封,basic,1,打击,R,3234,6,6
basic,1,打击,ghost,1,幽冥突袭,R,2506,3,5
fortune,3,招财进宝,basic,1,打击,R,2911,2,5
basic,1,打击,gambler,2,赌注,R,2517,3,5
candy,1,糖果锤,basic,1,打击,R,3176,4,7
basic,1,打击,line,3,墨水炸弹,L,3224,5,4
lava,2,岩浆涌动,basic,1,打击,R,3003,3,6
basic,1,打击,chest,1,清点财宝,R,3616,6,7
hiding,3,强化随从,basic,1,打击,R,3265,5,6
basic,2,龟派气波,stone,1,岩石护盾,R,3281,4,5
angel,3,飞升,basic,2,龟派气波,R,2637,4,5
basic,2,龟派气波,two_head,2,精神干扰/吸收,L,3270,6,5
fortune,1,骰子,basic,2,龟派气波,R,2728,3,6
basic,2,龟派气波,rainbow,3,反射,R,2224,3,4
pirate,2,朗姆酒,basic,2,龟派气波,R,2617,3,6
basic,2,龟派气波,line,1,连笔,L,2668,5,4
phoenix,3,强化涅槃,basic,2,龟派气波,R,3148,3,7
basic,2,龟派气波,crystal,2,碎晶爆破,L,2843,4,3
hiding,1,缩头,basic,2,龟派气波,R,2918,2,5
basic,2,龟派气波,shell,3,暗影,R,4004,6,5
angel,2,平等,basic,3,过肩摔,R,2587,4,5
basic,3,过肩摔,two_head,1,灵能冲击/锤击,L,2633,5,3
diamond,3,钻石冲撞,basic,3,过肩摔,R,2833,4,5
basic,3,过肩摔,rainbow,2,全色风暴,R,2514,3,4
pirate,1,火炮齐射,basic,3,过肩摔,R,2415,2,5
basic,3,过肩摔,bubble,3,泡泡爆破,L,2675,4,3
phoenix,2,烫伤,basic,3,过肩摔,L,2492,4,3
basic,3,过肩摔,crystal,1,水晶壁垒,L,2866,4,3
space,3,扭曲空间,basic,3,过肩摔,R,2498,2,5
basic,3,过肩摔,shell,2,吸收,L,2532,5,3
angel,2,平等,stone,1,岩石护盾,R,3273,7,6
stone,1,岩石护盾,two_head,1,灵能冲击/锤击,L,3579,6,5
diamond,3,钻石冲撞,stone,1,岩石护盾,L,3514,6,5
stone,1,岩石护盾,rainbow,2,全色风暴,R,2367,3,4
pirate,1,火炮齐射,stone,1,岩石护盾,R,3475,4,6
stone,1,岩石护盾,bubble,3,泡泡爆破,L,2940,5,5
phoenix,2,烫伤,stone,1,岩石护盾,L,2707,5,4
stone,1,岩石护盾,crystal,1,水晶壁垒,L,3409,5,4
space,3,扭曲空间,stone,1,岩石护盾,R,2945,3,5
stone,1,岩石护盾,shell,2,吸收,L,3440,6,6
angel,3,飞升,stone,2,磐石之躯,R,3272,6,7
stone,2,磐石之躯,two_head,2,精神干扰/吸收,L,3479,5,5
fortune,1,骰子,stone,2,磐石之躯,R,3039,4,8
stone,2,磐石之躯,rainbow,3,反射,R,2256,3,4
pirate,2,朗姆酒,stone,2,磐石之躯,R,3956,4,10
stone,2,磐石之躯,line,1,连笔,L,3116,7,5
phoenix,3,强化涅槃,stone,2,磐石之躯,L,2944,5,5
stone,2,磐石之躯,crystal,2,碎晶爆破,L,3123,8,2
hiding,1,缩头,stone,2,磐石之躯,L,3844,4,8
stone,2,磐石之躯,shell,3,暗影,R,4022,8,4
ice,2,冰封,stone,3,嘲讽,R,3257,6,4
stone,3,嘲讽,ghost,1,幽冥突袭,R,2482,2,5
fortune,3,招财进宝,stone,3,嘲讽,R,2926,3,5
stone,3,嘲讽,gambler,2,赌注,R,3051,2,6
candy,1,糖果锤,stone,3,嘲讽,R,3301,5,3
stone,3,嘲讽,line,3,墨水炸弹,L,3285,3,4
lava,2,岩浆涌动,stone,3,嘲讽,R,3605,3,5
stone,3,嘲讽,chest,1,清点财宝,L,3088,5,4
hiding,3,强化随从,stone,3,嘲讽,R,3683,7,5
bamboo,1,自然恢复,bamboo,3,竹刺阵,R,2943,3,5
ninja,2,炸弹,bamboo,1,自然恢复,L,2918,5,3
bamboo,1,自然恢复,diamond,1,坚不可摧,R,4344,5,7
dice,3,稳定骰子,bamboo,1,自然恢复,R,2965,2,5
bamboo,1,自然恢复,hunter,2,隐蔽,L,3918,6,7
bubble,1,泡泡盾,bamboo,1,自然恢复,R,3360,4,6
bamboo,1,自然恢复,lightning,3,雷盾,L,3322,5,4
cyber,2,侵入,bamboo,1,自然恢复,L,4459,5,6
bamboo,1,自然恢复,space,1,虫洞,R,3726,5,6
headless,3,灵魂打击,bamboo,1,自然恢复,L,3013,4,3
bamboo,2,竹击,ice,1,冰霜,L,3298,4,5
two_head,3,融合,bamboo,2,竹击,R,3357,4,5
bamboo,2,竹击,fortune,2,梭哈,L,2899,5,2
gambler,1,万能牌,bamboo,2,竹击,R,2910,5,4
bamboo,2,竹击,pirate,3,海盗船,R,3678,3,6
line,2,画龙点睛,bamboo,2,竹击,R,2945,3,5
bamboo,2,竹击,lava,1,地裂,R,3012,3,5
crystal,3,水晶球,bamboo,2,竹击,R,3868,6,4
bamboo,2,竹击,hiding,2,防御,R,3421,3,5
angel,1,祝福,bamboo,3,竹刺阵,R,3054,5,5
bamboo,3,竹刺阵,ninja,3,背刺,R,2859,3,5
diamond,2,钻石滚球,bamboo,3,竹刺阵,R,3182,3,3
bamboo,3,竹刺阵,rainbow,1,棱镜护盾,R,2556,2,9
hunter,3,狩猎弹幕,bamboo,3,竹刺阵,R,2782,4,4
bamboo,3,竹刺阵,bubble,2,泡泡束缚,R,3514,2,7
phoenix,1,熔岩盾,bamboo,3,竹刺阵,L,3276,7,4
bamboo,3,竹刺阵,cyber,3,智能AI,R,4572,4,5
space,2,星波,bamboo,3,竹刺阵,R,2748,3,4
bamboo,3,竹刺阵,shell,1,复制,R,2539,2,4
ninja,1,手里剑,angel,1,祝福,L,2672,4,4
angel,1,祝福,ghost,3,虚化,R,2608,4,4
dice,2,命运骰子,angel,1,祝福,R,3134,3,7
angel,1,祝福,hunter,1,精准射击,R,2737,5,5
candy,3,糖果炸弹,angel,1,祝福,L,3249,6,6
angel,1,祝福,lightning,2,雷暴,R,4065,8,7
cyber,1,能量大炮,angel,1,祝福,L,3523,7,7
angel,1,祝福,chest,3,财宝炮击,R,2799,5,3
headless,2,万千触须,angel,1,祝福,L,3689,3,6
angel,2,平等,ice,3,团队护盾,L,3332,9,4
ghost,2,灵魂风暴,angel,2,平等,L,2491,5,6
angel,2,平等,dice,1,孤注一掷,L,2710,6,2
gambler,3,命运之轮,angel,2,平等,R,2412,3,6
angel,2,平等,candy,2,糖衣炮弹,R,2835,5,4
lightning,1,涌动,angel,2,平等,R,2495,3,6
angel,2,平等,lava,3,熔岩爆发,L,3160,8,4
chest,2,财宝风暴,angel,2,平等,R,2612,2,7
angel,2,平等,headless,1,恐吓,R,2995,6,5
ice,3,团队护盾,angel,3,飞升,L,3339,6,6
angel,3,飞升,ghost,2,灵魂风暴,R,2212,4,4
dice,1,孤注一掷,angel,3,飞升,R,2929,2,5
angel,3,飞升,gambler,3,命运之轮,L,3574,8,5
candy,2,糖衣炮弹,angel,3,飞升,L,3316,4,6
angel,3,飞升,lightning,1,涌动,L,3449,7,5
lava,3,熔岩爆发,angel,3,飞升,L,3167,5,5
angel,3,飞升,chest,2,财宝风暴,R,2848,5,5
headless,1,恐吓,angel,3,飞升,L,3334,5,6
ice,1,冰霜,ninja,1,手里剑,R,2936,4,6
ghost,3,虚化,ice,1,冰霜,L,3386,5,6
ice,1,冰霜,dice,2,命运骰子,R,3552,5,2
hunter,1,精准射击,ice,1,冰霜,R,3479,6,7
ice,1,冰霜,candy,3,糖果炸弹,R,2966,4,5
lightning,2,雷暴,ice,1,冰霜,R,3435,4,7
ice,1,冰霜,cyber,1,能量大炮,R,3198,5,5
chest,3,财宝炮击,ice,1,冰霜,R,3030,3,5
ice,1,冰霜,headless,2,万千触须,R,3320,4,3
ninja,3,背刺,ice,2,冰封,L,3280,5,6
ice,2,冰封,diamond,2,钻石滚球,R,4060,8,2
rainbow,1,棱镜护盾,ice,2,冰封,L,3605,8,7
ice,2,冰封,hunter,3,狩猎弹幕,R,3089,6,5
bubble,2,泡泡束缚,ice,2,冰封,L,3821,9,6
ice,2,冰封,phoenix,1,熔岩盾,R,3383,6,7
cyber,3,智能AI,ice,2,冰封,L,4848,3,9
ice,2,冰封,space,2,星波,R,3443,6,5
shell,1,复制,ice,2,冰封,R,3686,4,7
ice,3,团队护盾,two_head,3,融合,R,4326,6,7
fortune,2,梭哈,ice,3,团队护盾,R,3216,2,5
ice,3,团队护盾,gambler,1,万能牌,L,3521,6,6
pirate,3,海盗船,ice,3,团队护盾,R,3758,3,6
ice,3,团队护盾,line,2,画龙点睛,R,3438,4,4
lava,1,地裂,ice,3,团队护盾,L,4329,5,6
ice,3,团队护盾,crystal,3,水晶球,R,3022,4,7
hiding,2,防御,ice,3,团队护盾,L,3712,5,5
ninja,1,手里剑,ninja,2,炸弹,R,2681,3,3
diamond,1,坚不可摧,ninja,1,手里剑,R,3215,4,6
ninja,1,手里剑,dice,3,稳定骰子,L,2528,5,2
hunter,2,隐蔽,ninja,1,手里剑,R,3157,5,6
ninja,1,手里剑,bubble,1,泡泡盾,L,2732,5,4
lightning,3,雷盾,ninja,1,手里剑,R,2569,3,5
ninja,1,手里剑,cyber,2,侵入,R,4242,7,3
space,1,虫洞,ninja,1,手里剑,L,4016,6,7
ninja,1,手里剑,headless,3,灵魂打击,L,3014,6,3
ghost,1,幽冥突袭,ninja,2,炸弹,R,2947,4,6
ninja,2,炸弹,fortune,3,招财进宝,L,2840,5,2
gambler,2,赌注,ninja,2,炸弹,R,2733,3,5
ninja,2,炸弹,candy,1,糖果锤,L,2716,5,4
line,3,墨水炸弹,ninja,2,炸弹,R,2539,3,5
ninja,2,炸弹,lava,2,岩浆涌动,L,3251,5,3
chest,1,清点财宝,ninja,2,炸弹,R,2510,3,5
ninja,2,炸弹,hiding,3,强化随从,L,3001,5,5
two_head,2,精神干扰/吸收,ninja,3,背刺,R,2824,4,5
ninja,3,背刺,fortune,1,骰子,L,2650,4,4
rainbow,3,反射,ninja,3,背刺,L,2292,3,2
ninja,3,背刺,pirate,2,朗姆酒,L,3598,6,4
line,1,连笔,ninja,3,背刺,R,2471,4,4
ninja,3,背刺,phoenix,3,强化涅槃,R,2904,2,5
crystal,2,碎晶爆破,ninja,3,背刺,R,2665,3,5
ninja,3,背刺,hiding,1,缩头,L,3619,6,4
shell,3,暗影,ninja,3,背刺,R,3306,4,6
two_head,1,灵能冲击/锤击,diamond,3,钻石冲撞,R,3041,3,6
rainbow,2,全色风暴,two_head,1,灵能冲击/锤击,L,2531,4,3
two_head,1,灵能冲击/锤击,pirate,1,火炮齐射,R,2877,4,6
bubble,3,泡泡爆破,two_head,1,灵能冲击/锤击,R,3819,6,7
two_head,1,灵能冲击/锤击,phoenix,2,烫伤,R,2266,2,4
crystal,1,水晶壁垒,two_head,1,灵能冲击/锤击,R,3646,4,6
two_head,1,灵能冲击/锤击,space,3,扭曲空间,R,3560,5,5
shell,2,吸收,two_head,1,灵能冲击/锤击,L,4052,8,6
two_head,2,精神干扰/吸收,diamond,3,钻石冲撞,R,3908,6,7
rainbow,2,全色风暴,two_head,2,精神干扰/吸收,L,2973,5,4
two_head,2,精神干扰/吸收,pirate,1,火炮齐射,R,2991,5,7
bubble,3,泡泡爆破,two_head,2,精神干扰/吸收,R,3310,5,6
two_head,2,精神干扰/吸收,phoenix,2,烫伤,R,2412,3,5
crystal,1,水晶壁垒,two_head,2,精神干扰/吸收,L,4116,6,7
two_head,2,精神干扰/吸收,space,3,扭曲空间,R,3030,4,4
shell,2,吸收,two_head,2,精神干扰/吸收,R,3892,6,7
two_head,3,融合,fortune,1,骰子,L,3871,6,8
rainbow,3,反射,two_head,3,融合,L,2468,4,3
two_head,3,融合,pirate,2,朗姆酒,L,4177,6,5
line,1,连笔,two_head,3,融合,R,3861,7,6
two_head,3,融合,phoenix,3,强化涅槃,R,3375,4,6
crystal,2,碎晶爆破,two_head,3,融合,R,3609,4,6
two_head,3,融合,hiding,1,缩头,R,3368,4,5
shell,3,暗影,two_head,3,融合,L,3441,4,4
ghost,1,幽冥突袭,fortune,3,招财进宝,L,2752,5,3
gambler,2,赌注,ghost,1,幽冥突袭,R,2823,4,6
ghost,1,幽冥突袭,candy,1,糖果锤,R,3367,5,5
line,3,墨水炸弹,ghost,1,幽冥突袭,R,2505,3,5
ghost,1,幽冥突袭,lava,2,岩浆涌动,L,2957,5,3
chest,1,清点财宝,ghost,1,幽冥突袭,R,2480,2,5
ghost,1,幽冥突袭,hiding,3,强化随从,L,3455,5,7
diamond,1,坚不可摧,ghost,2,灵魂风暴,R,2463,2,5
ghost,2,灵魂风暴,dice,3,稳定骰子,L,2348,5,2
hunter,2,隐蔽,ghost,2,灵魂风暴,R,2478,4,5
ghost,2,灵魂风暴,bubble,1,泡泡盾,L,2465,5,4
lightning,3,雷盾,ghost,2,灵魂风暴,R,2220,3,4
ghost,2,灵魂风暴,cyber,2,侵入,R,3478,6,4
space,1,虫洞,ghost,2,灵魂风暴,R,2333,3,4
ghost,2,灵魂风暴,headless,3,灵魂打击,L,2365,3,2
fortune,2,梭哈,ghost,3,虚化,R,2483,1,4
ghost,3,虚化,gambler,1,万能牌,L,3247,5,6
pirate,3,海盗船,ghost,3,虚化,R,4349,2,6
ghost,3,虚化,line,2,画龙点睛,L,2816,5,4
lava,1,地裂,ghost,3,虚化,R,2883,3,5
ghost,3,虚化,crystal,3,水晶球,L,2629,4,4
hiding,2,防御,ghost,3,虚化,L,3264,4,4
diamond,1,坚不可摧,diamond,2,钻石滚球,R,4168,6,7
rainbow,1,棱镜护盾,diamond,1,坚不可摧,L,3355,11,5
diamond,1,坚不可摧,hunter,3,狩猎弹幕,R,3318,4,5
bubble,2,泡泡束缚,diamond,1,坚不可摧,L,3975,11,6
diamond,1,坚不可摧,phoenix,1,熔岩盾,R,3320,4,7
cyber,3,智能AI,diamond,1,坚不可摧,L,5301,6,8
diamond,1,坚不可摧,space,2,星波,R,3843,5,5
shell,1,复制,diamond,1,坚不可摧,L,3807,4,6
diamond,2,钻石滚球,dice,2,命运骰子,L,3084,4,4
hunter,1,精准射击,diamond,2,钻石滚球,R,3588,6,5
diamond,2,钻石滚球,candy,3,糖果炸弹,R,3184,3,6
lightning,2,雷暴,diamond,2,钻石滚球,R,2914,3,4
diamond,2,钻石滚球,cyber,1,能量大炮,R,4394,4,5
chest,3,财宝炮击,diamond,2,钻石滚球,R,3280,3,5
diamond,2,钻石滚球,headless,2,万千触须,R,3563,4,4
dice,1,孤注一掷,diamond,3,钻石冲撞,R,2717,2,6
diamond,3,钻石冲撞,gambler,3,命运之轮,L,2708,5,3
candy,2,糖衣炮弹,diamond,3,钻石冲撞,R,3539,4,7
diamond,3,钻石冲撞,lightning,1,涌动,L,2764,5,3
lava,3,熔岩爆发,diamond,3,钻石冲撞,R,3107,4,6
diamond,3,钻石冲撞,chest,2,财宝风暴,R,3574,5,7
headless,1,恐吓,diamond,3,钻石冲撞,R,3532,5,6
fortune,1,骰子,dice,1,孤注一掷,L,3380,8,4
gambler,3,命运之轮,fortune,1,骰子,R,3504,4,9
fortune,1,骰子,candy,2,糖衣炮弹,R,2994,4,5
lightning,1,涌动,fortune,1,骰子,R,3354,4,9
fortune,1,骰子,lava,3,熔岩爆发,R,3151,5,6
chest,2,财宝风暴,fortune,1,骰子,R,3374,3,9
fortune,1,骰子,headless,1,恐吓,R,3354,4,5
dice,2,命运骰子,fortune,2,梭哈,R,3542,4,1
fortune,2,梭哈,hunter,1,精准射击,R,2996,1,6
candy,3,糖果炸弹,fortune,2,梭哈,L,2877,5,1
fortune,2,梭哈,lightning,2,雷暴,R,2994,1,4
cyber,1,能量大炮,fortune,2,梭哈,L,2869,5,1
fortune,2,梭哈,chest,3,财宝炮击,R,2909,1,5
headless,2,万千触须,fortune,2,梭哈,L,3597,3,1
fortune,3,招财进宝,rainbow,1,棱镜护盾,R,2703,2,9
hunter,3,狩猎弹幕,fortune,3,招财进宝,L,3157,6,4
fortune,3,招财进宝,bubble,2,泡泡束缚,L,3697,3,8
phoenix,1,熔岩盾,fortune,3,招财进宝,L,2932,6,3
fortune,3,招财进宝,cyber,3,智能AI,R,3222,3,5
space,2,星波,fortune,3,招财进宝,L,2961,4,3
fortune,3,招财进宝,shell,1,复制,L,3216,3,4
gambler,1,万能牌,dice,1,孤注一掷,R,3387,6,3
dice,1,孤注一掷,pirate,3,海盗船,R,3235,3,3
line,2,画龙点睛,dice,1,孤注一掷,L,3127,4,2
dice,1,孤注一掷,lava,1,地裂,R,2856,2,4
crystal,3,水晶球,dice,1,孤注一掷,L,2864,5,2
dice,1,孤注一掷,hiding,2,防御,R,2823,3,4
dice,3,稳定骰子,dice,2,命运骰子,R,2792,2,3
dice,2,命运骰子,hunter,2,隐蔽,R,3568,2,8
bubble,1,泡泡盾,dice,2,命运骰子,L,3572,7,4
dice,2,命运骰子,lightning,3,雷盾,L,3844,3,5
cyber,2,侵入,dice,2,命运骰子,L,3530,5,4
dice,2,命运骰子,space,1,虫洞,R,2800,3,5
headless,3,灵魂打击,dice,2,命运骰子,L,2803,4,3
dice,3,稳定骰子,gambler,2,赌注,R,2460,2,5
candy,1,糖果锤,dice,3,稳定骰子,L,2762,5,2
dice,3,稳定骰子,line,3,墨水炸弹,R,3090,2,5
lava,2,岩浆涌动,dice,3,稳定骰子,L,3631,4,2
dice,3,稳定骰子,chest,1,清点财宝,R,3240,3,6
hiding,3,强化随从,dice,3,稳定骰子,L,2702,6,2
rainbow,1,棱镜护盾,rainbow,3,反射,R,2316,3,4
pirate,2,朗姆酒,rainbow,1,棱镜护盾,R,2786,2,9
rainbow,1,棱镜护盾,line,1,连笔,L,2867,8,4
phoenix,3,强化涅槃,rainbow,1,棱镜护盾,R,2919,4,10
rainbow,1,棱镜护盾,crystal,2,碎晶爆破,L,2877,9,3
hiding,1,缩头,rainbow,1,棱镜护盾,R,2811,2,9
rainbow,1,棱镜护盾,shell,3,暗影,L,3816,12,5
pirate,1,火炮齐射,rainbow,2,全色风暴,R,2282,2,4
rainbow,2,全色风暴,bubble,3,泡泡爆破,L,2477,3,3
phoenix,2,烫伤,rainbow,2,全色风暴,R,2622,4,4
rainbow,2,全色风暴,crystal,1,水晶壁垒,L,2954,4,3
space,3,扭曲空间,rainbow,2,全色风暴,R,2622,3,4
rainbow,2,全色风暴,shell,2,吸收,L,3145,5,4
pirate,1,火炮齐射,rainbow,3,反射,R,2221,2,4
rainbow,3,反射,bubble,3,泡泡爆破,L,2192,3,3
phoenix,2,烫伤,rainbow,3,反射,R,2653,4,5
rainbow,3,反射,crystal,1,水晶壁垒,L,2420,4,3
space,3,扭曲空间,rainbow,3,反射,R,2527,3,4
rainbow,3,反射,shell,2,吸收,L,2525,4,3
pirate,2,朗姆酒,gambler,1,万能牌,L,3693,5,7
gambler,1,万能牌,line,1,连笔,R,4183,8,7
phoenix,3,强化涅槃,gambler,1,万能牌,L,2972,4,5
gambler,1,万能牌,crystal,2,碎晶爆破,R,3341,6,5
hiding,1,缩头,gambler,1,万能牌,L,3310,5,6
gambler,1,万能牌,shell,3,暗影,R,3747,5,5
candy,1,糖果锤,gambler,2,赌注,R,3458,3,7
gambler,2,赌注,line,3,墨水炸弹,L,2670,5,3
lava,2,岩浆涌动,gambler,2,赌注,R,2667,2,5
gambler,2,赌注,chest,1,清点财宝,L,2610,5,4
hiding,3,强化随从,gambler,2,赌注,R,2794,2,5
gambler,3,命运之轮,hunter,2,隐蔽,R,3061,3,7
bubble,1,泡泡盾,gambler,3,命运之轮,L,3237,6,4
gambler,3,命运之轮,lightning,3,雷盾,L,3636,5,5
cyber,2,侵入,gambler,3,命运之轮,L,2769,4,3
gambler,3,命运之轮,space,1,虫洞,R,3057,4,5
headless,3,灵魂打击,gambler,3,命运之轮,L,2495,3,3
hunter,1,精准射击,pirate,3,海盗船,R,3307,5,3
line,2,画龙点睛,hunter,1,精准射击,R,2541,3,4
hunter,1,精准射击,lava,1,地裂,L,3353,7,4
crystal,3,水晶球,hunter,1,精准射击,R,2984,2,5
hunter,1,精准射击,hiding,2,防御,R,3728,6,6
hunter,3,狩猎弹幕,hunter,2,隐蔽,R,4193,6,10
hunter,2,隐蔽,bubble,2,泡泡束缚,R,3939,6,9
phoenix,1,熔岩盾,hunter,2,隐蔽,L,3895,8,8
hunter,2,隐蔽,cyber,3,智能AI,R,5150,9,5
space,2,星波,hunter,2,隐蔽,L,3847,5,7
hunter,2,隐蔽,shell,1,复制,L,4209,10,5
candy,3,糖果炸弹,hunter,3,狩猎弹幕,L,3553,6,4
hunter,3,狩猎弹幕,lightning,2,雷暴,L,2820,5,4
cyber,1,能量大炮,hunter,3,狩猎弹幕,R,4129,4,7
hunter,3,狩猎弹幕,chest,3,财宝炮击,R,3433,5,5
headless,2,万千触须,hunter,3,狩猎弹幕,R,3198,2,5
pirate,1,火炮齐射,candy,2,糖衣炮弹,R,2718,3,4
lightning,1,涌动,pirate,1,火炮齐射,R,2606,3,5
pirate,1,火炮齐射,lava,3,熔岩爆发,L,3096,5,5
chest,2,财宝风暴,pirate,1,火炮齐射,R,2260,3,5
pirate,1,火炮齐射,headless,1,恐吓,L,3188,5,4
candy,2,糖衣炮弹,pirate,2,朗姆酒,L,2684,4,3
pirate,2,朗姆酒,lightning,1,涌动,R,3702,5,6
lava,3,熔岩爆发,pirate,2,朗姆酒,L,4196,7,6
pirate,2,朗姆酒,chest,2,财宝风暴,R,2649,3,5
headless,1,恐吓,pirate,2,朗姆酒,L,3977,6,4
pirate,3,海盗船,candy,3,糖果炸弹,R,3970,3,7
lightning,2,雷暴,pirate,3,海盗船,R,2915,4,5
pirate,3,海盗船,cyber,1,能量大炮,R,4580,4,5
chest,3,财宝炮击,pirate,3,海盗船,R,3277,3,5
pirate,3,海盗船,headless,2,万千触须,R,4189,3,4
bubble,2,泡泡束缚,candy,1,糖果锤,L,4002,10,5
candy,1,糖果锤,phoenix,1,熔岩盾,R,3554,4,8
cyber,3,智能AI,candy,1,糖果锤,R,4845,4,7
candy,1,糖果锤,space,2,星波,L,2998,6,3
shell,1,复制,candy,1,糖果锤,R,3057,3,7
candy,2,糖衣炮弹,line,2,画龙点睛,L,2530,3,3
lava,1,地裂,candy,2,糖衣炮弹,L,3597,4,4
candy,2,糖衣炮弹,crystal,3,水晶球,L,3665,3,5
hiding,2,防御,candy,2,糖衣炮弹,L,3465,5,4
candy,3,糖果炸弹,bubble,1,泡泡盾,L,3659,7,5
lightning,3,雷盾,candy,3,糖果炸弹,R,2933,4,6
candy,3,糖果炸弹,cyber,2,侵入,R,3227,4,3
space,1,虫洞,candy,3,糖果炸弹,L,3398,6,5
candy,3,糖果炸弹,headless,3,灵魂打击,R,2909,3,4
line,3,墨水炸弹,bubble,1,泡泡盾,R,3461,5,6
bubble,1,泡泡盾,lava,2,岩浆涌动,R,3080,4,4
chest,1,清点财宝,bubble,1,泡泡盾,R,3390,5,6
bubble,1,泡泡盾,hiding,3,强化随从,R,3273,4,8
line,1,连笔,bubble,2,泡泡束缚,R,3554,5,8
bubble,2,泡泡束缚,phoenix,3,强化涅槃,R,2996,6,5
crystal,2,碎晶爆破,bubble,2,泡泡束缚,R,3567,2,7
bubble,2,泡泡束缚,hiding,1,缩头,R,3426,7,5
shell,3,暗影,bubble,2,泡泡束缚,L,3921,2,9
bubble,3,泡泡爆破,phoenix,2,烫伤,R,2518,4,5
crystal,1,水晶壁垒,bubble,3,泡泡爆破,R,3705,4,6
bubble,3,泡泡爆破,space,3,扭曲空间,R,2982,4,4
shell,2,吸收,bubble,3,泡泡爆破,L,3584,7,6
line,1,连笔,phoenix,2,烫伤,R,2442,4,4
crystal,1,水晶壁垒,line,1,连笔,R,3448,4,6
line,1,连笔,space,3,扭曲空间,R,3188,5,5
shell,2,吸收,line,1,连笔,R,3416,5,6
line,2,画龙点睛,phoenix,3,强化涅槃,R,2813,4,5
crystal,2,碎晶爆破,line,2,画龙点睛,L,3281,4,4
line,2,画龙点睛,hiding,1,缩头,R,3447,4,5
shell,3,暗影,line,2,画龙点睛,L,3461,5,3
line,3,墨水炸弹,lava,2,岩浆涌动,R,3198,4,4
chest,1,清点财宝,line,3,墨水炸弹,R,3372,4,6
line,3,墨水炸弹,hiding,3,强化随从,R,3065,4,7
lightning,3,雷盾,lightning,1,涌动,R,3579,5,6
lightning,1,涌动,cyber,2,侵入,R,2926,4,4
space,1,虫洞,lightning,1,涌动,L,3121,5,4
lightning,1,涌动,headless,3,灵魂打击,R,2563,3,4
lava,1,地裂,lightning,2,雷暴,L,3559,5,4
lightning,2,雷暴,crystal,3,水晶球,R,2846,4,4
hiding,2,防御,lightning,2,雷暴,L,3321,5,4
lightning,3,雷盾,phoenix,1,熔岩盾,R,2456,3,5
cyber,3,智能AI,lightning,3,雷盾,L,4635,5,7
lightning,3,雷盾,space,2,星波,R,2855,4,4
shell,1,复制,lightning,3,雷盾,R,3612,4,6
phoenix,1,熔岩盾,cyber,1,能量大炮,R,4617,8,5
chest,3,财宝炮击,phoenix,1,熔岩盾,R,3000,3,7
phoenix,1,熔岩盾,headless,2,万千触须,L,3798,7,3
lava,3,熔岩爆发,phoenix,2,烫伤,R,2383,3,4
phoenix,2,烫伤,chest,2,财宝风暴,L,3052,6,5
headless,1,恐吓,phoenix,2,烫伤,R,2344,2,3
phoenix,3,强化涅槃,lava,3,熔岩爆发,L,3335,5,5
chest,2,财宝风暴,phoenix,3,强化涅槃,R,2900,3,5
phoenix,3,强化涅槃,headless,1,恐吓,L,2608,3,4
cyber,1,能量大炮,lava,1,地裂,L,4766,5,6
lava,1,地裂,chest,3,财宝炮击,R,3876,5,6
headless,2,万千触须,lava,1,地裂,L,3447,3,4
lava,2,岩浆涌动,cyber,3,智能AI,R,4836,5,4
space,2,星波,lava,2,岩浆涌动,R,3508,5,4
lava,2,岩浆涌动,shell,1,复制,L,3600,4,3
crystal,3,水晶球,lava,3,熔岩爆发,R,3345,4,6
lava,3,熔岩爆发,hiding,2,防御,R,3088,4,5
cyber,2,侵入,cyber,1,能量大炮,L,5588,5,5
cyber,1,能量大炮,space,1,虫洞,R,4378,5,8
headless,3,灵魂打击,cyber,1,能量大炮,L,3845,5,4
cyber,2,侵入,chest,1,清点财宝,L,3643,6,5
hiding,3,强化随从,cyber,2,侵入,R,4527,8,4
cyber,3,智能AI,crystal,2,碎晶爆破,L,3757,6,3
hiding,1,缩头,cyber,3,智能AI,R,5021,6,4
cyber,3,智能AI,shell,3,暗影,R,5152,4,6
space,3,扭曲空间,crystal,1,水晶壁垒,L,3253,5,4
crystal,1,水晶壁垒,shell,2,吸收,R,3480,4,7
space,3,扭曲空间,crystal,2,碎晶爆破,L,2840,4,3
crystal,2,碎晶爆破,shell,2,吸收,R,3554,3,7
hiding,1,缩头,crystal,3,水晶球,L,3270,5,6
crystal,3,水晶球,shell,3,暗影,R,4032,5,6
hiding,3,强化随从,chest,1,清点财宝,L,3571,8,5
chest,2,财宝风暴,space,1,虫洞,R,3707,5,7
headless,3,灵魂打击,chest,2,财宝风暴,R,3849,4,6
chest,3,财宝炮击,hiding,2,防御,R,2884,3,4
space,2,星波,space,1,虫洞,R,3420,5,5
space,1,虫洞,shell,1,复制,L,3832,7,4
headless,2,万千触须,space,2,星波,L,3028,3,4
space,3,扭曲空间,headless,1,恐吓,R,3349,4,5
headless,1,恐吓,hiding,1,缩头,R,3312,4,4
hiding,2,防御,headless,2,万千触须,R,3407,3,4
shell,1,复制,hiding,3,强化随从,R,3170,4,8
headless,2,万千触须,headless,3,灵魂打击,R,3393,3,4
shell,3,暗影,shell,1,复制,L,3709,4,5
